Study_Hours,Sleep_Hours,Attendance,Assignment,Result
1,9,87,5,53.45
9,9,94,16,98.1
8,8,52,9,72
7,4,66,7,57
1,4,71,15,51.35
4,9,87,6,69.15
7,7,70,13,72.1
7,7,95,1,66.45
5,7,74,9,65.7
1,6,71,5,40.35
1,4,74,0,30.4
1,8,93,15,67.05
4,5,91,16,73.55
2,4,71,6,41.05
2,4,76,16,54.8
9,9,99,17,95.05
2,5,70,7,51.4
7,7,52,0,49.2
4,9,52,2,47.1
9,8,57,17,78.85
9,10,99,16,100
2,10,67,1,49.65
8,6,92,15,91.2
1,7,92,7,57.6
2,10,100,10,65
7,5,73,17,78.95
1,7,65,14,54.55
10,5,99,15,97.15
5,6,79,8,68.75
3,8,75,10,56.75
9,8,68,6,73.5
10,10,80,17,100
1,8,86,1,43.8
10,10,69,6,78.35
6,4,92,17,77.6
1,5,100,11,54.2
7,6,87,10,79.95
10,10,57,11,79.15
4,7,92,6,65.9
2,5,98,2,52.2
10,4,74,16,87.1
9,4,68,17,81.7
7,7,91,14,88.65
4,8,57,16,61.15
1,9,64,20,60.4
9,10,81,17,98.25
9,6,94,20,100
3,9,71,13,66.45
3,10,60,4,46.3
3,10,78,10,60.8
4,7,60,7,48.9
9,7,90,2,74.9
6,4,63,9,62.85
2,7,94,11,65.6
8,8,55,20,88.25
7,10,81,5,75.85
7,8,85,13,77.85
10,8,100,20,100
7,4,70,3,57.6
4,8,65,8,62.35
7,6,90,12,76.4
10,6,69,15,85.15
8,10,57,5,65.95
5,8,58,11,64
3,7,75,4,53.05
3,9,67,5,48.45
10,8,81,13,85.95
4,6,98,15,77.3
4,6,56,4,50.4
2,5,53,10,42.05
10,4,80,6,72.2
2,6,67,13,52.05
2,6,77,3,45.55
4,10,71,9,66.65
8,10,61,2,70.75
2,9,98,8,60.4
10,8,71,14,86.65
6,10,55,2,53.65
8,10,97,4,84.75
5,7,76,3,54.2
6,8,61,12,66.75
5,10,80,8,71.1
4,10,85,16,80.95
9,5,51,8,71.45
7,5,60,11,68.2
10,6,64,20,90.4
1,5,71,16,54.05
9,8,94,12,91.8
4,7,74,4,52.2
4,8,90,11,73.7
6,6,53,9,62.35
10,5,80,7,81.9
1,5,96,13,58.2
7,5,51,9,57.65
3,7,85,14,63.55
3,6,68,18,62.9
2,6,97,1,47.15
5,7,54,4,49.7
2,5,85,8,50.85
10,4,69,11,81.35
4,7,60,12,60.9
5,5,66,1,44.3
6,7,93,13,80.65
2,4,57,19,60.75
10,4,71,18,84.45
8,9,57,12,74.85
9,7,52,11,69.4
4,10,63,17,70.45
6,9,69,7,68.05
3,4,77,15,61.45
9,4,97,19,92.25
5,6,99,3,68.75
10,10,63,6,75.25
2,4,82,17,59.1
1,7,54,20,56.9
7,5,69,20,85.15
5,5,93,4,59.35
7,4,82,17,84.6
7,5,78,8,73.9
5,9,53,10,62.55
10,4,100,3,84.6
7,5,57,19,70.75
7,4,72,16,69.9
7,6,66,12,73
8,4,52,5,58.2
1,7,91,20,67.85
10,4,77,17,87.35
5,8,93,13,81.65
7,10,58,13,74.4
3,5,65,0,43.75
5,4,71,20,67.35
8,4,78,3,63.9
3,7,100,5,66
10,6,55,13,76.85
4,5,99,1,52.35
4,5,52,2,37.1
5,9,71,19,75.65
3,8,94,3,55
4,9,57,18,70.05
5,4,88,7,61.7
10,4,67,8,78.05
9,6,72,5,76.7
6,7,50,13,62.6
5,10,79,10,73.15
10,8,65,7,79.15
1,8,72,20,69.7
2,9,73,17,63.45
1,9,82,6,53.9
3,7,77,5,53.95
6,6,72,5,61.2
3,9,50,17,62.9
2,5,69,16,56.85
7,5,66,3,58.7
9,6,73,9,76.85
1,4,95,2,46.15
5,8,51,20,66.35
8,7,51,12,71.75
10,6,67,17,91.85
4,10,86,11,76.3
2,4,92,6,48.4
8,7,75,15,80.75
9,5,98,11,84.5
5,5,69,16,71.35
6,10,57,4,60.75
1,10,51,4,38.15
5,8,54,6,57.6
9,4,90,18,93.6
5,5,83,3,52.65
9,5,51,1,54.05
8,6,85,18,89.35
5,4,58,7,51.2
7,7,84,19,84.2
5,8,97,4,67.25
1,5,73,14,58.35
1,6,77,7,44.85
3,8,50,0,45
10,9,93,11,92.25
7,4,63,3,60.15
10,9,98,20,100
9,7,60,7,67.4
5,4,54,1,42.6
3,9,72,0,53.2
7,4,52,4,50.5
8,9,98,12,94.2
4,5,62,16,60.4
9,6,98,20,100
6,8,66,6,62.3
3,6,64,11,50.1
2,8,99,6,55.85
4,10,70,16,76.7
9,7,83,11,82.25
5,7,70,5,62.5
1,6,82,15,63.2
3,6,93,18,72.65
2,6,73,5,48.55
9,8,65,0,65.25
9,4,68,18,83.9
6,6,83,8,72.65
7,10,86,3,73.2
9,8,92,5,86.7
7,6,66,8,71.2
1,9,69,11,53.35
7,5,80,3,61.6
3,6,70,14,61.8
3,10,53,3,45.65
3,10,53,4,53.85
1,8,76,4,48.9
6,7,74,17,76.8
9,4,89,20,96.65
4,6,96,2,57
1,4,72,3,34.3
7,4,96,1,69.3
2,8,92,20,74.2
1,9,64,18,63
6,4,75,4,61.05
9,5,69,12,82.55
3,10,77,16,67.65
9,6,66,7,67
7,8,57,0,57.45
4,4,91,13,65.45
1,10,87,4,56.75
9,4,70,18,79.6
2,9,80,4,48.3
7,4,73,8,69.65
7,7,99,14,91.45
9,4,67,19,80.75
3,8,62,7,51.6
6,5,56,14,61.9
1,8,58,2,36.2
2,10,86,4,57.9
2,8,97,10,67.95
3,10,86,20,82.6
3,4,52,17,58.1
2,6,70,16,63.7
8,4,100,14,89.8
1,7,94,11,60.1
10,9,91,0,84.35
6,4,57,12,66.35
3,7,89,13,63.75
4,8,91,9,72.65
5,8,70,9,61.8
2,8,81,20,75.35
3,10,51,5,49.35
7,8,81,1,62.05
5,6,94,5,60.4
8,6,57,15,76.95
1,6,81,0,42.85
7,5,52,13,62.8
7,10,81,12,77.25
8,4,74,12,79.3
6,9,50,8,66.6
5,10,77,16,79.65
10,7,50,1,66.2
8,5,50,7,59.4
4,6,71,5,58.85
2,9,84,19,69.7
3,7,86,12,60.5
9,6,53,9,74.85
8,4,74,17,75.3
10,5,95,8,87.35
2,6,60,18,55.6
8,8,98,3,75.9
6,5,88,14,76.1
1,7,86,8,52.7
10,8,77,11,84.15
5,4,56,12,58.5
5,6,99,4,70.95
3,8,69,9,58.45
2,8,100,7,62.4
2,7,85,13,58.85
1,5,91,17,65.25
5,5,59,10,60.65
2,8,99,19,74.45
4,10,50,12,64.9
8,5,90,0,71
5,9,84,12,69.8
2,9,73,18,64.65
1,8,66,16,53.8
1,5,61,14,47.15
7,8,88,2,64.7
5,8,60,4,60.3
5,8,61,5,53.85
2,6,93,9,55.35
10,9,98,7,94.2
3,7,86,7,58.5
10,4,60,5,72
7,6,90,16,79.2
7,5,69,14,67.95
6,6,54,13,69.5
8,5,74,15,75.4
9,5,96,10,85.6
5,8,52,17,72.1
10,8,57,19,91.75
6,8,51,7,54.25
2,10,89,7,60.55
3,5,81,3,46.95
5,4,73,8,61.65
7,9,73,11,81.75
7,7,100,0,65
7,8,66,16,77.8
7,4,77,17,77.85
5,10,67,8,60.55
1,5,72,14,50
2,8,51,10,50.85
6,4,59,15,63.65
6,9,63,18,77.15
1,9,72,13,55.8
6,5,78,5,60.8
3,7,50,0,35.5
1,8,94,18,66
7,10,67,10,71.95
8,6,72,5,68.2
1,10,61,3,46.45
5,4,78,4,54.6
8,7,83,18,90.15
10,4,79,8,77.25
4,9,75,1,50.95
9,4,80,0,65.5
1,7,79,15,60.65
6,10,60,4,65.8
7,10,51,3,60.95
7,5,75,7,61.65
10,9,56,11,84.3
9,6,81,5,72.85
5,5,75,5,58.25
1,7,74,6,43.1
4,7,74,6,58.6
7,8,60,7,64.9
4,5,83,5,61.55
6,6,76,17,79
1,8,91,9,62.15
1,8,62,4,46
9,7,53,8,67.15
5,6,84,8,60.5
8,6,92,0,64.2
7,7,54,12,73.3
4,10,60,19,75.8
3,6,59,9,47.95
10,4,50,3,66.1
2,8,96,9,63.4
4,5,75,18,68.35
1,4,68,6,38.5
2,6,86,4,54.9
9,7,74,19,86.7
9,6,62,16,78.4
5,4,92,5,60.7
3,6,63,18,67.15
2,9,100,2,62.9
3,4,90,12,57.4
1,9,85,16,68.95
8,10,57,0,58.95
5,7,61,17,68.75
1,9,85,4,54.55
1,6,60,2,34.9
10,9,72,18,94.3
10,4,89,11,83.35
10,10,59,2,76.05
9,4,61,8,68.45
1,6,81,11,54.05
6,6,85,16,76.95
3,7,99,17,74.05
5,4,77,5,52.45
6,9,99,12,86.55
2,5,50,3,33.6
6,8,89,0,62.15
9,6,52,2,57.1
4,10,54,10,58.9
2,9,66,17,59
5,8,91,13,77.95
4,7,78,3,58.4
6,8,99,14,82.45
3,6,97,11,68.65
4,4,65,20,65.75
5,6,79,6,66.35
10,6,72,4,79
3,5,82,7,57.1
4,10,62,2,58.1
5,8,68,8,61.9
9,6,83,8,81.15
2,6,88,14,64.6
1,6,67,1,37.15
3,7,85,9,61.55
1,5,63,12,51.45
9,9,55,7,71.65
7,5,96,13,82.2
8,10,63,7,74.45
5,10,95,11,82.95
8,4,60,0,53
3,7,77,17,63.35
6,10,70,16,84.7
5,9,75,20,78.25
1,5,51,11,40.05
6,10,69,4,67.95
1,7,81,5,53.35
5,10,63,11,67.75
10,5,76,17,87.5
10,7,85,9,86.05
3,4,61,16,53.05
1,10,100,5,55.5
3,5,94,11,59.1
10,8,87,5,79.45
5,4,57,5,54.45
9,8,53,16,79.25
8,7,53,20,83.05
1,5,83,14,54.85
9,6,58,17,86.2
8,10,69,9,75.95
7,9,76,0,62.6
3,6,73,2,47.45
10,10,71,12,86.25
7,4,55,9,57.55
9,4,77,0,59.45
1,5,95,10,58.25
5,4,56,18,60.7
7,6,64,8,64.5
10,8,70,9,85.3
3,7,54,17,60.3
6,7,55,0,55.75
10,4,60,2,67.4
5,8,93,13,81.65
1,4,100,15,66.5
7,10,91,12,80.75
4,8,59,9,59.45
8,8,59,16,83.85
9,8,83,9,87.35
9,7,52,3,66.8
1,8,84,17,69.3
5,10,54,1,54.6
8,4,82,3,64.3
9,10,76,16,95.3
7,7,97,9,81.75
3,7,50,9,50.3
4,10,99,12,73.05
1,6,62,1,34.4
9,6,79,13,82.75
1,7,78,1,42.5
8,8,94,15,88.9
8,9,64,6,75.1
8,5,66,15,78.6
10,9,63,4,77.35
8,5,69,15,73.65
9,5,71,19,89.65
7,4,83,17,84.95
9,10,90,12,87.4
8,4,76,20,85.6
2,4,91,16,63.05
2,6,73,8,52.15
5,7,84,13,71
7,6,70,1,56.2
5,10,70,4,60.8
6,7,90,18,87.6
7,9,65,7,70.15
9,4,98,14,87.6
5,8,90,18,77.6
3,9,99,8,67.25
6,10,59,19,80.45
7,9,85,1,69.95
8,5,59,13,73.75
10,9,54,15,86.4
4,8,80,15,73
9,5,53,8,65.15
4,6,69,17,63.55
2,9,52,12,53.1
8,9,92,9,87.5
9,7,65,3,63.35
4,9,74,4,61.2
8,6,81,8,69.95
8,8,64,9,75.2
9,9,81,1,69.55
9,9,62,17,82.1
4,10,73,13,70.15
5,7,65,7,63.15
1,7,99,7,55.05
1,8,71,6,42.55
1,4,82,4,44
9,4,88,16,91.5
1,5,78,3,36.9
6,4,62,16,68.9
9,6,67,12,79.35
7,5,54,3,54.5
6,8,51,0,46.85
3,5,71,9,55.65
1,5,88,2,43.2
4,9,82,1,54.4
7,4,74,8,61
3,7,93,17,73.95
8,7,88,19,89.1
6,4,71,9,59.65
1,8,69,12,56.05
8,5,70,0,60
4,6,91,7,58.25
8,7,92,2,74.1
8,6,70,16,79.7
3,4,72,2,47.1
4,4,60,8,54.6
3,7,92,4,59
1,5,94,3,50.5
6,5,82,18,81.8
1,7,59,10,51.65
3,5,73,16,65.75
8,9,61,15,84.85
6,6,79,13,69.25
2,4,52,12,42.6
2,4,72,1,41.4
3,8,81,17,74.25
8,8,53,11,73.75
8,10,88,1,76
2,5,81,13,63.45
9,8,71,3,67.95
3,4,88,9,54.1
4,5,79,20,68.15
6,9,59,8,68.75
6,4,89,2,60.55
6,9,93,13,80.65
4,8,59,1,43.85
10,5,56,12,75.5
10,8,57,8,80.55
4,5,74,20,73.4
6,10,80,2,65.4
2,6,63,18,58.65
8,6,58,17,81.7
4,4,88,1,50
2,7,74,18,68
6,9,96,5,71.1
5,4,58,14,59.6
7,5,90,3,67.1
2,10,93,7,63.95
4,7,60,19,63.3
6,4,81,10,67.35
4,6,56,19,63.4
3,8,60,17,58.9
6,4,84,0,55.4
6,6,61,11,66.55
3,7,78,13,67.9
8,9,55,11,78.95
10,7,69,2,74.05
5,10,98,3,67.4
7,5,71,11,73.05
8,10,55,9,74.05
2,7,65,11,53.45
4,8,100,0,57
3,10,73,1,56.25
2,5,73,19,67.85
9,9,95,14,93.05
6,4,75,3,54.85
2,10,74,9,57.7
8,4,72,14,75
8,5,72,7,66.1
2,6,72,14,55
1,8,82,11,53.4
3,7,94,18,72.5
2,4,91,2,50.25
3,8,62,1,42.4
7,9,66,20,87.1
4,5,97,20,74.45
3,5,66,19,62.9
8,4,77,16,81.15
10,4,94,8,84.5
7,8,72,9,75.5
8,4,99,13,81.25
5,8,72,19,78.5
10,9,77,18,98.05
4,6,75,11,65.45
4,4,52,3,40.8
2,7,77,19,69.25
3,8,65,13,65.85
7,10,77,17,82.85
7,5,70,8,67.1
3,10,78,15,65.8
9,8,83,17,88.95
5,10,99,19,89.95
9,5,66,0,64.1
1,7,56,13,46.2
8,9,98,19,98.6
4,5,96,5,64.1
9,7,62,6,72.9
4,9,93,5,69.05
7,9,76,1,61.8
4,8,69,1,47.35
5,5,96,15,81.6
8,6,89,12,87.55
4,5,82,6,53.4
3,8,54,19,65.2
10,9,90,19,99.8
1,7,80,7,46.4
7,5,54,8,62.5
4,4,50,18,55.1
2,8,79,14,58.45
1,6,79,17,64.55
1,8,56,2,39.5
4,9,78,2,56.2
9,7,93,18,100
5,7,75,8,67.85
7,5,94,6,70.1
3,5,55,20,60.25
8,9,59,16,82.35
1,5,77,0,38.95
7,8,57,0,54.45
9,4,85,6,69.45
4,10,72,20,77.2
5,4,61,9,51.65
9,5,73,19,82.35
3,4,99,8,58.75
10,7,84,5,78.9
4,9,80,18,75.1
7,7,78,20,81.3
5,9,72,1,53.4
1,4,97,18,65.05
7,8,54,11,65.6
1,4,78,16,55
2,6,83,8,50.65
4,8,52,2,41.6
3,10,82,4,59
9,4,79,1,65.35
4,6,50,20,62.5
8,7,59,14,72.95
6,10,77,2,60.35
1,7,70,16,61.7
2,4,79,3,48.25
8,8,51,6,69.05
9,4,59,20,84.15
3,10,76,17,77.5
7,10,58,15,72.8
7,5,80,8,72.6
3,7,57,19,68.75
10,4,97,4,78.75
10,4,68,12,81.2
10,7,97,2,83.85
4,4,94,15,68.9
4,7,63,19,72.35
5,4,100,10,67.5
3,4,70,8,49.6
2,7,53,19,57.85
4,7,66,9,58.4
4,6,66,18,65.7
9,8,86,5,82.6
10,9,85,17,100
6,10,87,5,75.45
2,7,87,19,68.75
7,7,89,18,85.75
1,6,94,4,55.2
2,4,65,11,53.95
8,5,95,5,77.75
1,10,58,15,59.8
5,10,95,5,74.75
8,8,95,11,82.45
5,9,85,10,67.75
2,5,64,13,55.5
3,7,74,17,68.3
3,8,94,20,77.4
4,9,61,6,56.05
5,10,95,9,74.55
10,8,95,11,98.45
6,5,59,5,52.15
3,10,86,11,72.8
6,6,68,1,60
6,7,64,11,64.1
8,7,78,6,70
2,5,82,10,56.2
5,7,64,17,70.8
5,8,51,6,50.55
2,6,98,3,54.9
3,7,89,3,52.75
3,7,89,19,73.95
9,10,96,14,98.9
3,10,55,5,47.75
1,5,74,6,41.1
8,9,50,20,78
5,10,74,10,69.4
4,4,65,1,45.95
6,10,63,11,74.25
6,10,93,3,71.15
5,6,52,6,54.9
9,8,84,12,91.3
3,10,80,14,70.3
3,5,84,6,52.6
1,6,66,6,45.8
7,5,91,13,84.45
6,10,66,10,74.1
9,8,82,7,81.6
2,7,76,4,49.9
10,5,71,17,84.75
3,6,87,4,57.75
10,8,75,1,78.45
3,9,53,3,51.15
1,8,100,16,68.7
1,4,92,5,52.7
9,10,74,3,81
1,4,69,10,43.65
8,10,74,2,70.3
8,10,90,20,98.5
1,5,67,6,41.65
10,8,63,4,76.85
5,10,56,4,56.9
8,7,64,9,75.7
2,7,58,5,39.8
9,9,70,1,73.7
9,7,74,18,90.5
8,10,90,12,92.9
10,4,64,4,67.2
9,9,71,2,77.25
1,4,67,7,44.35
5,4,85,11,68.45
10,7,92,8,89.3
7,4,69,2,52.05
8,10,65,12,82.15
5,7,51,19,67.65
4,9,56,18,65.7
9,10,67,15,83.95
2,8,90,13,71.1
8,8,67,12,74.85
2,9,91,2,59.75
8,10,61,0,68.35
4,10,58,17,68.7
1,8,95,5,49.75
8,8,75,1,68.45
3,10,59,11,56.35
1,9,99,16,65.85
1,10,51,2,37.75
4,10,84,8,72
3,7,68,2,48.2
2,10,72,19,70
4,4,92,4,54
4,9,52,8,54.3
2,5,91,7,57.75
3,9,51,12,51.25
10,7,67,0,72.95
10,6,55,20,87.25
8,4,90,20,88.5
7,5,99,14,82.45
1,9,96,19,68.4
2,7,76,17,61.5
2,6,84,3,51
7,10,85,17,86.65
6,10,90,11,75.7
8,8,97,11,89.15
3,6,99,3,52.75
6,8,71,0,62.85
10,6,95,17,100
4,5,68,12,64.7
3,8,52,16,55.9
5,8,52,5,53.7
9,8,85,16,94.45
9,6,51,1,57.55
4,6,59,18,68.25
7,8,77,6,66.65
9,8,69,8,81.25
9,5,66,6,74.3
1,9,76,7,49
6,5,91,18,83.95
10,10,50,3,70.1
8,10,62,5,65.7
4,5,60,8,51.1
7,8,88,15,86.3
4,5,63,14,59.35
1,9,67,17,59.85
10,7,77,18,95.05
3,6,54,8,45
8,6,58,20,82.3
1,9,92,19,73
9,5,74,6,69.1
5,5,85,20,73.75
3,10,94,0,61.4
4,6,68,10,57.8
3,8,64,10,55.9
10,10,71,20,100
8,4,52,2,53.6
9,4,85,8,80.85
9,4,65,11,75.45
6,4,85,10,68.75
5,6,91,18,84.95
4,7,83,9,66.35
6,10,94,10,85.9
7,8,74,16,77.6
7,7,84,20,93.4
6,10,69,17,78.55
9,9,70,14,89.3
2,5,52,2,38.1
3,9,57,1,46.15
6,8,77,20,84.95
10,6,74,9,77.7
10,7,63,2,65.95
7,7,97,2,76.35
1,8,95,11,65.95
3,8,51,19,62.15
3,5,91,5,59.85
8,6,90,11,76.7
4,5,87,7,58.35
6,8,68,17,80.2
10,4,94,10,87.9
2,4,71,2,42.25
5,6,51,8,55.95
8,5,51,13,73.95
3,4,68,13,50.9
5,7,58,8,55.9
6,8,93,6,71.75
9,10,100,6,86.7
8,7,86,1,68.8
5,8,67,7,63.35
7,10,95,19,96.55
3,8,79,6,59.35
7,9,76,8,72.2
4,6,57,16,60.15
9,6,77,4,67.25
8,6,91,18,89.45
1,7,79,13,59.25
6,5,85,17,78.65
3,9,74,15,66.9
7,8,73,9,68.85
1,7,78,2,39.7
4,9,84,16,74.1
5,10,75,14,77.55
2,6,71,0,42.85
7,10,95,5,74.75
8,7,85,3,67.85
2,10,63,15,66.05
5,9,85,19,88.55
1,4,68,0,31.3
10,9,80,17,97.9
10,9,65,9,87.05
1,9,86,12,57.5
7,6,87,5,68.95
3,9,68,5,57.8
9,10,74,14,92.2
1,7,99,12,68.05
9,5,73,18,87.15
6,5,88,11,70.5
2,9,98,20,77.8
1,7,97,0,47.95
9,10,90,3,81.6
8,9,98,8,89.4
1,7,66,1,43.3
6,4,66,15,67.1
3,8,96,11,70.3
6,5,87,2,57.35
1,4,81,16,60.05
8,5,91,6,75.55
3,9,50,8,49.1
2,4,63,20,58.05
7,7,87,1,62.65
4,4,54,11,56.1
7,4,54,20,75.4
8,5,54,14,73.2
1,10,89,18,76.25
7,6,71,1,58.55
1,9,87,11,58.65
10,6,99,10,92.65
8,7,81,13,83.45
10,5,81,17,92.25
8,6,95,5,75.25
1,4,87,11,55.15
7,7,81,9,72.15
6,7,81,18,82.45
2,10,73,4,56.35
10,9,85,17,97.65
4,8,63,19,68.85
7,4,62,12,62.6
7,8,76,4,69.9
8,9,66,8,77.2
5,4,62,18,67.8
5,7,79,4,56.45
8,4,68,17,77.2
9,5,70,1,60.7
7,7,100,1,67.2
2,5,85,6,47.45
2,9,98,12,65.2
4,8,85,18,82.35
10,7,74,4,71.2
4,6,87,19,80.25
7,6,96,16,89.3
7,10,52,17,79.1
8,8,78,13,81.9
2,5,67,16,59.15
7,9,79,18,88.25
6,9,76,8,69.7
4,10,83,2,60.45
5,4,68,8,55.9
7,8,56,6,66.3
1,9,81,17,68.75
1,7,59,6,44.85
5,7,99,6,64.85
7,9,57,1,60.15
10,5,69,6,77.85
10,6,77,6,73.15
1,5,58,19,58.1
7,9,52,7,66.6
10,7,57,3,70.05
3,9,63,2,50.45
8,7,68,13,74.9
10,4,57,9,71.75
7,4,66,7,67
5,9,57,14,62.75
1,4,76,16,53.3
4,8,77,1,56.15
4,5,86,6,58.8
10,5,68,19,84.1
3,8,96,2,55.5
10,5,87,19,99.75
10,8,72,10,88.2
5,7,60,2,53.4
8,10,59,17,88.05
10,5,87,0,76.95
1,6,50,11,38.2
7,5,51,10,64.85
5,8,61,2,56.25
9,8,55,9,73.55
8,7,56,17,77.5
3,9,94,3,60.5
1,10,84,4,57.7
8,9,52,9,70.5
5,5,72,8,62.8
3,5,55,17,57.65
3,10,87,19,83.75
2,4,73,3,43.15
1,4,61,11,41.05
4,5,92,10,69.7
8,5,95,7,82.15
2,6,59,17,54.05
1,9,77,9,50.75
4,5,91,14,72.15
6,4,92,5,65.2
2,5,50,18,50.6
2,10,62,11,52.9
9,5,83,16,91.25
5,7,65,8,64.35
6,10,51,7,63.25
10,4,81,14,86.15
10,9,94,18,98
10,7,86,18,100
10,5,64,3,66.5
9,9,51,1,68.05
1,7,88,8,51.4
5,5,68,20,76.8
6,5,67,8,61.55
6,7,64,5,57.9
1,6,75,11,54.95
1,10,76,5,46.1
7,10,95,18,89.35
3,7,67,2,50.85
8,6,91,0,68.85
8,10,76,19,90.4
4,9,61,10,58.85
10,8,52,16,88.4
10,4,63,17,84.45
6,5,68,13,70.9
2,8,72,0,47.2
10,8,55,20,87.25
5,4,78,12,63.2
9,9,51,1,67.05
7,9,82,11,79.9
7,10,70,11,80.2
3,9,68,1,47
8,5,51,2,59.75
9,8,50,17,83.4
6,6,56,3,54.2
8,8,55,3,66.85
1,8,65,6,44.45
5,6,90,16,76.2
2,8,78,8,52.9
4,10,74,15,77.9
5,7,84,19,85.2
7,6,53,13,62.65
2,8,65,14,62.55
4,9,95,18,86.35
5,9,51,19,76.65
10,5,51,2,63.75
1,9,81,15,65.35
4,8,94,0,61.9
6,8,75,6,61.45
3,5,63,15,61.05
7,7,91,6,71.05
2,8,72,1,47.4
2,7,79,12,58.55
2,8,76,7,57
5,5,58,6,51.5
1,10,80,19,69.3
2,10,72,19,66
10,7,77,18,96.05
6,9,71,5,65.35
5,8,97,17,83.85
10,7,63,19,85.35
4,4,58,13,51.9
7,7,96,0,66.6
8,10,96,1,79.8
2,5,80,17,65.9
8,6,55,4,64.05
9,6,95,7,79.15
3,4,63,9,47.35
8,5,55,19,80.55
1,7,98,2,54.7
5,8,84,7,62.3
5,8,88,20,84.3
8,6,89,8,76.75
8,6,88,20,87.8
2,5,79,20,71.15
5,9,57,3,56.55
1,5,79,11,47.85
7,8,72,5,68.7
3,6,56,1,38.3
3,7,62,9,53.5
6,4,94,20,83.9
3,9,100,15,77
9,9,61,14,84.15
10,4,80,20,96
2,5,84,1,40.1
10,9,57,20,93.45
6,9,77,13,79.05
10,6,85,6,77.95
7,7,75,19,84.05
4,8,98,7,70.7
9,5,69,5,66.15
8,5,89,11,78.85
4,7,75,1,51.95
3,7,61,0,39.35
6,10,97,10,77.95
6,10,69,18,81.75
3,7,90,9,60.3
7,9,84,4,75.2
1,6,95,9,58.55
8,6,98,1,75.5
5,4,69,20,71.65
7,6,91,0,64.35
2,4,83,7,52.45
9,6,67,15,79.95
6,4,96,7,67
9,4,93,19,97.85
8,8,93,19,91.35
8,8,88,11,79
8,10,74,10,76.9
8,5,80,0,68.5
10,6,80,0,70
3,10,57,0,47.45
1,9,94,3,49.5
10,8,60,14,82.8
8,4,55,11,71.45
3,8,84,6,64.1
7,6,63,6,60.75
3,8,65,8,58.85
9,10,74,15,88.4
8,9,57,1,64.65
9,7,82,2,69.1
1,4,51,7,39.75
2,6,80,16,60.2
7,4,50,1,53.2
10,6,95,2,81.65
7,8,96,17,87.5
2,8,83,16,68.25
1,10,56,3,46.7
3,4,60,15,57.5
2,10,66,16,62.3
4,7,67,1,52.15
9,7,52,17,80.6
2,5,87,6,51.15
4,6,73,10,55.55
1,8,63,6,41.75
5,5,66,2,46.5
5,9,96,4,65.4
4,9,72,4,52.5
5,10,73,8,64.65
9,7,88,18,94.4
7,10,91,19,92.15
6,9,57,10,67.45
8,7,68,16,77.5
3,7,73,8,52.15
10,9,68,0,77.3
6,8,98,8,71.9
2,4,50,5,35.5
8,8,59,1,56.85
6,10,84,15,81.4
5,5,96,12,74
1,5,61,19,51.15
2,7,60,2,35.9
8,6,64,10,70.4
2,8,95,19,76.05
6,5,57,6,58.65
7,4,63,5,59.55
2,6,98,12,60.7
8,4,92,1,65.4
10,7,98,6,89
3,10,57,12,61.85
10,4,86,3,78.7
4,7,52,12,61.1
5,9,96,20,93.6
3,5,97,8,63.55
5,10,97,5,74.45
5,6,82,18,80.8
10,5,63,17,89.95
1,8,94,5,49.4
9,10,96,4,87.9
4,5,99,17,78.55
6,5,98,1,61
8,8,52,8,69.8
1,8,64,17,54.3
3,7,97,15,74.95
7,7,80,12,77.4
5,8,76,15,73.1
10,5,71,7,74.75
10,7,96,8,91.7
5,9,77,11,71.15
4,7,99,18,82.75
2,5,79,11,57.35
8,7,92,11,86.9
3,7,97,9,65.75
1,4,95,0,46.75
4,5,60,8,57.1
4,10,62,6,53.9
8,5,64,17,80.3
8,4,54,0,55.9
3,10,61,3,50.45
7,7,65,6,61.95
6,7,54,2,52.8
10,4,86,1,76.3
1,10,83,10,59.55
1,6,94,0,41.4
4,9,99,17,77.55
8,5,78,12,72.2
8,6,99,7,76.05
5,7,65,0,45.75
2,4,90,14,64.3
9,6,90,11,81.2
4,5,54,10,53.4
5,5,81,11,68.55
6,9,89,10,81.65
5,9,90,3,62.1
2,6,58,19,62.1
10,9,52,20,85.7
9,7,81,19,92.15
8,8,67,17,85.85
10,5,58,14,80.6
6,9,98,7,73.2
7,7,71,2,59.25
10,5,53,5,62.05
10,6,88,17,100
6,9,79,10,76.15
9,7,67,7,78.85
9,6,64,2,69.3
1,7,73,11,57.75
9,7,51,19,85.65
7,5,88,2,70.2
5,6,54,12,61.8
7,10,95,4,80.55
7,8,86,17,82
7,8,61,13,77.45
4,10,87,7,69.85
3,10,60,12,64.9
9,9,80,15,92
5,10,78,7,73.2
10,6,83,16,95.25
8,10,91,14,90.65
7,10,56,0,59.1
4,8,54,2,44.3
6,7,98,15,84.8
3,4,57,3,35.05
3,10,50,19,68.8
10,9,79,3,75.75
3,10,52,14,55.5
10,10,94,18,100
7,7,69,2,62.55
5,9,88,18,83.4
8,7,60,11,77.7
6,8,65,14,74.55
2,7,67,15,60.95
10,4,63,7,75.45
6,10,61,14,76.15
9,10,71,11,89.55
8,9,83,2,70.95
10,5,66,11,76.8
2,5,64,6,45.1
7,4,100,6,70.7
8,9,66,10,72.6
1,6,68,18,59.9
9,10,85,12,94.65
7,7,93,4,71.35
1,8,100,3,55.1
7,8,50,7,67.4
10,9,92,18,100
